gen,nevals,avg,std,min,max
138,500,-1646.0714107494628,1114.756950373388,-9397.801382978858,904.4363903349224
139,500,-1621.7709456750904,1094.3700519114989,-7250.048083329797,560.5723328925806
140,500,-1835.668670987987,1129.6210079514467,-7528.39680905253,807.9093630196419
141,500,-1701.262378355481,1172.94521427832,-7259.0287509268355,611.7456618013615
142,500,-1759.7582897615619,1260.3009618803392,-8986.861806088938,476.992541220995
143,500,-1749.6088578672852,1215.2484390675359,-9626.627264378652,592.2812375551017
144,500,-1772.6215745954369,1129.6428998678189,-8632.71399530092,778.4371723379296
145,500,-1672.1268643505405,1165.8550295247073,-8994.611394297564,960.6884689100256
146,500,-1778.5133483821648,1254.614989342738,-7889.286059656729,561.9262971426006
147,500,-1726.5654529592978,1226.9913730063631,-8106.973109646038,511.37128484775457
148,500,-1755.7539438035692,1166.6381108927426,-9492.207386246553,486.9787385568426
149,500,-1695.930948187797,1085.33317040708,-7495.226308553945,478.53762698388164
150,500,-1755.3108272945078,1169.668172825883,-6921.347028997986,926.5031097202018
151,500,-1781.0415761146019,1205.3748212898531,-7806.050434335555,660.2231896370216
152,500,-1740.0906145585473,1189.037722245124,-8074.288772704711,608.2659264312856
153,500,-1758.2824971306263,1159.5719805951787,-8261.440137197784,708.8650205644302
154,500,-1673.9514572271555,1071.2465793676063,-7922.47958590559,535.7121994872234
155,500,-1659.122789357298,1094.733149181103,-8365.86697767835,451.1158486175932
156,500,-1638.7143711884123,1159.0817272646261,-8190.80449823943,1058.0484510902247
157,500,-1755.9236309742016,1076.3211053328641,-6424.049624536603,983.3360985523128
158,500,-1734.7575585649884,1184.3319730628025,-7893.922554782458,807.5443549399064
159,500,-1771.1463166039089,1230.939820203017,-8800.153413123922,639.0322584445917
160,500,-1699.486833968242,1132.9292021525282,-8302.242541469412,672.4703588347531
161,500,-1735.972910870754,1155.3033345208826,-7390.785309895745,668.7803236037543
162,500,-1724.2283362022858,1179.4866798417916,-9371.9458883269,465.6067971535678
163,500,-1626.5127065808629,905.577383247026,-6713.620712876786,382.446345726005
164,500,-1732.578140379063,1111.554016931599,-6690.424286754809,394.571940677656
165,500,-1698.8894426746579,1068.378739942811,-7345.450311600992,753.7642450437745
166,500,-1689.2003655042288,1137.315232587254,-7612.011063202223,597.2709911499189
167,500,-1653.91000614496,1015.208313116957,-7640.666741060578,792.8471236847307
168,500,-1607.1336781672017,1054.2580906291546,-8235.005301228539,371.864980455736
169,500,-1664.1370919815638,1087.2798880543312,-9571.342949968677,676.6516274350781
170,500,-1701.3984514983172,1095.889624184075,-7236.279152499311,544.1010993390008
171,500,-1714.297990951854,1112.2161709745142,-7845.871881561635,754.3973400397165
172,500,-1799.5409186172874,1194.0449202615994,-8406.790124835037,382.37074015095106
173,500,-1681.9242825350427,1120.2824040658145,-8690.685081942942,471.60770237071904
174,500,-1744.1711052744859,1268.3913051994268,-8343.424329803505,539.2545693049393
175,500,-1732.5785384459891,1126.0901525492447,-7403.986970672746,712.9210302353683
176,500,-1781.1206426320696,1204.4469456126822,-8920.354928655284,649.2180002847425
177,500,-1759.504557798364,1132.090080376936,-7893.738786933495,722.5542086063717
178,500,-1665.5345334069077,967.235612255348,-5776.447474949992,650.6607699204491
179,500,-1733.2093230383534,1109.7103236763105,-7622.185539039781,879.7837055750848
180,500,-1682.231105502835,1126.3557014826267,-8172.827354265026,813.0413047063466
181,500,-1622.7118138597548,1083.9362300784082,-8131.467434288747,851.2117802742654
182,500,-1711.0577916231723,1111.662581587409,-7774.642635823812,914.525160317439
183,500,-1793.8691890926057,1276.611391118447,-7405.104728820334,669.9817748683047
184,500,-1700.844231706869,1173.169025886779,-9233.796773290884,621.2672338345072
185,500,-1669.7664839885276,1030.8921629147092,-7507.470085004145,890.3609991254798
186,500,-1701.3420796995902,1168.1694116630997,-8660.37001366775,682.7530848164854
187,500,-1701.299430061153,1013.0033033800775,-6465.253285082976,446.2308822953273
188,500,-1679.133825224849,1079.8706664158926,-7700.516084091268,1081.5302781991102
189,500,-1719.002060776345,1153.3282225523292,-8828.504596294555,561.2938402276374
190,500,-1686.8331038451083,1133.1402521721916,-8424.150610533672,282.3306556834118
191,500,-1765.6673941607542,1149.8479263944384,-8627.750232597751,394.1549179485561
192,500,-1712.0258908302244,1107.2600687047363,-8962.584676012477,545.7709929523853
193,500,-1784.8244973544831,1259.0972845442493,-7964.725244434327,829.4634359198637
194,500,-1767.9622084450862,1247.038080832511,-8930.287589014077,614.1395485498293
195,500,-1690.3863858790214,1106.0007453830042,-8440.527602369666,529.6560187184474
196,500,-1625.7525859795123,1010.7240650409389,-7057.985565434594,847.0516455905587
197,500,-1630.8837899507619,1055.8617344500724,-7268.2741785462495,860.9919622856881
198,500,-1628.4804556443664,1060.9636695625422,-8445.898738112137,295.9958757861617
199,500,-1704.9929946062657,1116.9495081326982,-6884.283952360665,316.1454725175465
200,500,-1678.08439086879,1051.4096949365435,-8286.904505651175,618.9285031485518
201,500,-1687.4728346097431,1177.976641680122,-8367.033475268303,701.0493884369196
202,500,-1685.6035864599612,1086.9146820296967,-8137.842385163368,668.982821483109
203,500,-1716.818386833204,1166.829838404174,-7794.393213502473,482.61786039245254
204,500,-1727.823705934496,1135.5195795264333,-8033.3863784073055,812.7429063703122
205,500,-1692.9243132310642,1023.1820479504295,-6667.826234592484,484.7861850528231
206,500,-1745.6747218729881,1096.3527889324432,-7931.8865124416025,612.8353577621087
207,500,-1672.5770525303003,1090.2623001893305,-7094.163450989082,765.6675073923905
208,500,-1835.8506239606143,1318.3832603806259,-8065.607430354865,534.5002674416451
209,500,-1649.3932106542113,1037.1642490618117,-6947.799201532423,405.06698278958163
210,500,-1637.4438007164822,1054.8435653326485,-6864.9799321473665,686.137491689447
211,500,-1728.2960541743869,1070.2427011016264,-7973.6703461204,357.5917033885787
212,500,-1775.8681748018837,1156.5185101782306,-7201.01322514998,431.5592624888676
213,500,-1651.3648870980037,1006.9240262390929,-7536.6438434635975,643.4915896374739
214,500,-1687.519696446891,1082.633961848347,-7209.504902227845,361.22829129625006
215,500,-1681.1806105801304,1133.0417381928644,-9218.289754733538,630.654579767372
